City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Chapais,CA,49.7834,-74.8492,17.6,67,90,18.41,light snow
279,Buraydah,SA,26.326,43.975,51.8,100,75,6.91,broken clouds
280,Glotovka,RU,53.9491,46.7042,-1.14,92,100,11.39,overcast clouds
281,Saint-Philippe,RE,-21.3585,55.7679,79.0,83,75,3.44,light rain
282,Sechura,PE,-5.5569,-80.8222,83.39,52,33,12.84,scattered clouds
283,Yulara,AU,-25.2406,130.9889,73.4,35,0,9.22,clear sky
284,Alpena,US,45.0617,-83.4327,17.6,53,90,17.27,overcast clouds
285,Ploemeur,FR,47.7333,-3.4333,44.01,70,20,5.75,few clouds
286,Gizo,SB,-8.103,156.8419,82.72,75,100,12.06,light rain
287,Caravelas,BR,-17.7125,-39.2481,79.11,88,100,10.87,overcast clouds
288,Viedma,AR,-40.8135,-62.9967,78.01,43,0,1.01,clear sky
289,Calama,CL,-22.4667,-68.9333,75.2,27,0,26.46,clear sky
290,Yomou,GN,7.5603,-9.2653,81.77,54,98,3.24,overcast clouds
291,Caranavi,BO,-15.8167,-67.55,80.19,51,89,4.03,overcast clouds
292,Buala,SB,-8.145,159.5921,80.42,82,100,11.63,light rain
293,Aquiraz,BR,-3.9014,-38.3911,87.8,62,40,12.66,scattered clouds
294,Pierre,US,44.3683,-100.351,3.2,51,1,17.27,clear sky
295,Yerbogachen,RU,61.2767,108.0108,-13.85,89,88,3.67,overcast clouds
296,Hudson Bay,CA,52.85,-102.3842,-19.93,81,35,7.65,scattered clouds
297,Nouadhibou,MR,20.931,-17.0347,68.0,56,0,20.71,sand
298,Fukue,JP,32.6881,128.8419,55.78,70,0,14.29,clear sky
299,Grindavik,IS,63.8424,-22.4338,35.6,64,40,13.8,scattered clouds
300,Tiksi,RU,71.6872,128.8694,-25.46,86,100,5.97,overcast clouds
301,Tautira,PF,-17.7333,-149.15,75.2,83,75,10.36,light rain
302,Waingapu,ID,-9.6567,120.2641,77.88,80,100,5.93,overcast clouds
303,Antofagasta,CL,-23.65,-70.4,73.99,56,20,13.8,few clouds
304,Tessalit,ML,20.1986,1.0114,78.1,16,94,8.84,overcast clouds
305,Nadym,RU,65.5333,72.5167,-24.09,85,69,14.09,broken clouds
306,Taoudenni,ML,22.6783,-3.9836,69.66,23,24,13.51,few clouds
307,Nuuk,GL,64.1835,-51.7216,24.8,54,1,4.61,clear sky
